,Klub,Rezultat
0,OGC Nice,1.0
1,Olympique de Marseille,-0.4
2,Paris Saint-Germain,-0.6
3,Stade Brestois 29,-0.2
4,Clermont Foot 63,0.6
5,Montpellier Hérault SC,0.8
6,FC Nantes,0.6
7,Stade Rennais FC,-0.6
8,RC Strasbourg Alsace,0.4
9,FC Metz,0.6
10,Olympique Lyonnais,-0.0
11,Toulouse FC,-0.2
12,LOSC Lille,-0.6
13,Havre Athletic Club,0.6
14,FC Lorient,-0.4
15,Stade de Reims,0.4
16,AS Monaco,0.6
17,RC Lens,-1.0
18,AJ Auxerre,0.2
19,Angers SCO,-0.6
20,AS Saint-Étienne,0.2
21,Paris FC,0.6
