,H,A,Result,Rez1,Rez2
0,OGC Nice,LOSC Lille,1 - 1,1,1
1,Olympique de Marseille,Stade de Reims,2 - 1,2,1
2,Paris Saint-Germain,FC Lorient,0 - 0,0,0
3,Stade Brestois 29,RC Lens,3 - 2,3,2
4,Clermont Foot 63,AS Monaco,2 - 4,2,4
5,Montpellier Hérault SC,Havre Athletic Club,2 - 2,2,2
6,FC Nantes,Toulouse FC,1 - 2,1,2
7,Stade Rennais FC,FC Metz,5 - 1,5,1
8,RC Strasbourg Alsace,Olympique Lyonnais,2 - 1,2,1
9,FC Metz,Olympique de Marseille,2 - 2,2,2
10,Olympique Lyonnais,Montpellier Hérault SC,1 - 4,1,4
11,Toulouse FC,Paris Saint-Germain,1 - 1,1,1
12,LOSC Lille,FC Nantes,2 - 0,2,0
13,Havre Athletic Club,Stade Brestois 29,1 - 2,1,2
14,FC Lorient,OGC Nice,1 - 1,1,1
15,Stade de Reims,Clermont Foot 63,2 - 0,2,0
16,AS Monaco,RC Strasbourg Alsace,3 - 0,3,0
17,RC Lens,Stade Rennais FC,1 - 1,1,1
18,FC Nantes,AS Monaco,3 - 3,3,3
19,Olympique de Marseille,Stade Brestois 29,2 - 0,2,0
20,Paris Saint-Germain,RC Lens,3 - 1,3,1
21,Stade Rennais FC,Havre Athletic Club,2 - 2,2,2
22,Clermont Foot 63,FC Metz,0 - 1,0,1
23,Montpellier Hérault SC,Stade de Reims,1 - 3,1,3
24,RC Strasbourg Alsace,Toulouse FC,2 - 0,2,0
25,FC Lorient,LOSC Lille,4 - 1,4,1
26,OGC Nice,Olympique Lyonnais,0 - 0,0,0
27,FC Nantes,Olympique de Marseille,1 - 1,1,1
28,Stade Brestois 29,Stade Rennais FC,0 - 0,0,0
29,AS Monaco,RC Lens,3 - 0,3,0
30,Toulouse FC,Clermont Foot 63,2 - 2,2,2
31,Havre Athletic Club,FC Lorient,3 - 0,3,0
32,LOSC Lille,Montpellier Hérault SC,1 - 0,1,0
33,FC Metz,Stade de Reims,2 - 2,2,2
34,OGC Nice,RC Strasbourg Alsace,2 - 0,2,0
35,Olympique Lyonnais,Paris Saint-Germain,1 - 4,1,4
36,Paris Saint-Germain,OGC Nice,2 - 3,2,3
37,Stade Rennais FC,LOSC Lille,2 - 2,2,2
38,RC Lens,FC Metz,0 - 1,0,1
39,FC Lorient,AS Monaco,2 - 2,2,2
40,Clermont Foot 63,FC Nantes,0 - 1,0,1
41,Stade de Reims,Stade Brestois 29,1 - 2,1,2
42,RC Strasbourg Alsace,Montpellier Hérault SC,2 - 2,2,2
43,Olympique de Marseille,Toulouse FC,0 - 0,0,0
44,Olympique Lyonnais,Havre Athletic Club,0 - 0,0,0
45,AS Monaco,OGC Nice,0 - 1,0,1
46,FC Nantes,FC Lorient,5 - 3,5,3
47,Stade Brestois 29,Olympique Lyonnais,1 - 0,1,0
48,FC Metz,RC Strasbourg Alsace,0 - 1,0,1
49,Havre Athletic Club,Clermont Foot 63,2 - 1,2,1
50,RC Lens,Toulouse FC,2 - 1,2,1
51,Montpellier Hérault SC,Stade Rennais FC,0 - 0,0,0
52,Paris Saint-Germain,Olympique de Marseille,4 - 0,4,0
53,LOSC Lille,Stade de Reims,1 - 2,1,2
54,RC Strasbourg Alsace,RC Lens,0 - 1,0,1
55,Clermont Foot 63,Paris Saint-Germain,0 - 0,0,0
56,AS Monaco,Olympique de Marseille,3 - 2,3,2
57,Stade de Reims,Olympique Lyonnais,2 - 0,2,0
58,Havre Athletic Club,LOSC Lille,0 - 2,0,2
59,OGC Nice,Stade Brestois 29,0 - 0,0,0
60,Toulouse FC,FC Metz,3 - 0,3,0
61,FC Lorient,Montpellier Hérault SC,0 - 3,0,3
62,Stade Rennais FC,FC Nantes,3 - 1,3,1
63,RC Strasbourg Alsace,FC Nantes,1 - 2,1,2
64,FC Metz,OGC Nice,0 - 1,0,1
65,Stade de Reims,AS Monaco,1 - 3,1,3
66,Olympique de Marseille,Havre Athletic Club,3 - 0,3,0
67,Stade Brestois 29,Toulouse FC,1 - 1,1,1
68,Olympique Lyonnais,FC Lorient,3 - 3,3,3
69,RC Lens,LOSC Lille,1 - 1,1,1
70,Stade Rennais FC,Paris Saint-Germain,1 - 3,1,3
71,Montpellier Hérault SC,Clermont Foot 63,1 - 1,1,1
72,Havre Athletic Club,RC Lens,0 - 0,0,0
73,Paris Saint-Germain,RC Strasbourg Alsace,3 - 0,3,0
74,OGC Nice,Olympique de Marseille,1 - 0,1,0
75,FC Lorient,Stade Rennais FC,2 - 1,2,1
76,LOSC Lille,Stade Brestois 29,1 - 0,1,0
77,FC Nantes,Montpellier Hérault SC,2 - 0,2,0
78,Toulouse FC,Stade de Reims,1 - 1,1,1
79,AS Monaco,FC Metz,2 - 1,2,1
80,Olympique Lyonnais,Clermont Foot 63,1 - 2,1,2
81,Clermont Foot 63,OGC Nice,0 - 1,0,1
82,Stade de Reims,FC Lorient,1 - 0,1,0
83,RC Lens,FC Nantes,4 - 0,4,0
84,Stade Brestois 29,Paris Saint-Germain,2 - 3,2,3
85,LOSC Lille,AS Monaco,2 - 0,2,0
86,FC Metz,Havre Athletic Club,0 - 0,0,0
87,Montpellier Hérault SC,Toulouse FC,3 - 0,3,0
88,Stade Rennais FC,RC Strasbourg Alsace,1 - 1,1,1
89,Olympique de Marseille,Olympique Lyonnais,3 - 0,3,0
90,Paris Saint-Germain,Montpellier Hérault SC,3 - 0,3,0
91,FC Lorient,RC Lens,0 - 0,0,0
92,Olympique de Marseille,LOSC Lille,0 - 0,0,0
93,Olympique Lyonnais,FC Metz,1 - 1,1,1
94,FC Nantes,Stade de Reims,0 - 1,0,1
95,RC Strasbourg Alsace,Clermont Foot 63,0 - 0,0,0
96,Toulouse FC,Havre Athletic Club,1 - 2,1,2
97,AS Monaco,Stade Brestois 29,2 - 0,2,0
98,OGC Nice,Stade Rennais FC,2 - 0,2,0
99,Montpellier Hérault SC,OGC Nice,0 - 0,0,0
100,Stade de Reims,Paris Saint-Germain,0 - 3,0,3
101,Havre Athletic Club,AS Monaco,0 - 0,0,0
102,Clermont Foot 63,FC Lorient,1 - 0,1,0
103,LOSC Lille,Toulouse FC,1 - 1,1,1
104,FC Metz,FC Nantes,3 - 1,3,1
105,Stade Rennais FC,Olympique Lyonnais,0 - 1,0,1
106,RC Lens,Olympique de Marseille,1 - 0,1,0
107,Stade Brestois 29,RC Strasbourg Alsace,1 - 1,1,1
108,Paris Saint-Germain,AS Monaco,5 - 2,5,2
109,Clermont Foot 63,RC Lens,0 - 3,0,3
110,RC Strasbourg Alsace,Olympique de Marseille,1 - 1,1,1
111,OGC Nice,Toulouse FC,1 - 0,1,0
112,FC Lorient,FC Metz,2 - 3,2,3
113,Montpellier Hérault SC,Stade Brestois 29,1 - 3,1,3
114,FC Nantes,Havre Athletic Club,0 - 0,0,0
115,Stade Rennais FC,Stade de Reims,3 - 1,3,1
116,Olympique Lyonnais,LOSC Lille,0 - 2,0,2
117,Stade de Reims,RC Strasbourg Alsace,2 - 1,2,1
118,RC Lens,Olympique Lyonnais,3 - 2,3,2
119,FC Nantes,OGC Nice,1 - 0,1,0
120,Havre Athletic Club,Paris Saint-Germain,0 - 2,0,2
121,Stade Brestois 29,Clermont Foot 63,3 - 0,3,0
122,AS Monaco,Montpellier Hérault SC,2 - 0,2,0
123,Toulouse FC,FC Lorient,1 - 1,1,1
124,LOSC Lille,FC Metz,2 - 0,2,0
125,Olympique de Marseille,Stade Rennais FC,2 - 0,2,0
126,Montpellier Hérault SC,RC Lens,0 - 0,0,0
127,Stade Rennais FC,AS Monaco,1 - 2,1,2
128,Paris Saint-Germain,FC Nantes,2 - 1,2,1
129,OGC Nice,Stade de Reims,2 - 1,2,1
130,Clermont Foot 63,LOSC Lille,0 - 0,0,0
131,FC Metz,Stade Brestois 29,0 - 1,0,1
132,RC Strasbourg Alsace,Havre Athletic Club,2 - 1,2,1
133,Olympique Lyonnais,Toulouse FC,3 - 0,3,0
134,FC Lorient,Olympique de Marseille,2 - 4,2,4
135,AS Monaco,Olympique Lyonnais,0 - 1,0,1
136,Havre Athletic Club,OGC Nice,3 - 1,3,1
137,RC Lens,Stade de Reims,2 - 0,2,0
138,FC Nantes,Stade Brestois 29,0 - 2,0,2
139,FC Lorient,RC Strasbourg Alsace,1 - 2,1,2
140,FC Metz,Montpellier Hérault SC,0 - 1,0,1
141,Toulouse FC,Stade Rennais FC,0 - 0,0,0
142,Olympique de Marseille,Clermont Foot 63,2 - 1,2,1
143,LOSC Lille,Paris Saint-Germain,1 - 1,1,1
144,Stade Brestois 29,FC Lorient,4 - 0,4,0
145,Clermont Foot 63,Stade Rennais FC,1 - 3,1,3
146,Olympique Lyonnais,FC Nantes,1 - 0,1,0
147,Montpellier Hérault SC,Olympique de Marseille,1 - 1,1,1
148,OGC Nice,RC Lens,2 - 0,2,0
149,Paris Saint-Germain,FC Metz,3 - 1,3,1
150,Stade de Reims,Havre Athletic Club,1 - 0,1,0
151,RC Strasbourg Alsace,LOSC Lille,2 - 1,2,1
152,Toulouse FC,AS Monaco,1 - 2,1,2
153,Olympique de Marseille,RC Strasbourg Alsace,1 - 1,1,1
154,AS Monaco,Stade de Reims,1 - 3,1,3
155,Stade Rennais FC,OGC Nice,2 - 0,2,0
156,LOSC Lille,FC Lorient,3 - 0,3,0
157,Stade Brestois 29,Montpellier Hérault SC,2 - 0,2,0
158,FC Metz,Toulouse FC,0 - 1,0,1
159,FC Nantes,Clermont Foot 63,1 - 2,1,2
160,Havre Athletic Club,Olympique Lyonnais,3 - 1,3,1
161,RC Lens,Paris Saint-Germain,0 - 2,0,2
162,Olympique Lyonnais,Stade Rennais FC,2 - 3,2,3
163,OGC Nice,FC Metz,1 - 0,1,0
164,Olympique de Marseille,AS Monaco,2 - 2,2,2
165,Montpellier Hérault SC,LOSC Lille,0 - 0,0,0
166,Clermont Foot 63,RC Strasbourg Alsace,1 - 1,1,1
167,FC Lorient,Havre Athletic Club,3 - 3,3,3
168,Stade de Reims,FC Nantes,0 - 0,0,0
169,Toulouse FC,RC Lens,0 - 2,0,2
170,Paris Saint-Germain,Stade Brestois 29,2 - 2,2,2
171,RC Strasbourg Alsace,Paris Saint-Germain,1 - 2,1,2
172,Stade Rennais FC,Montpellier Hérault SC,2 - 1,2,1
173,FC Nantes,RC Lens,0 - 1,0,1
174,AS Monaco,Havre Athletic Club,1 - 1,1,1
175,LOSC Lille,Clermont Foot 63,4 - 0,4,0
176,FC Metz,FC Lorient,1 - 2,1,2
177,Stade de Reims,Toulouse FC,2 - 3,2,3
178,Stade Brestois 29,OGC Nice,0 - 0,0,0
179,Olympique Lyonnais,Olympique de Marseille,1 - 0,1,0
180,Olympique de Marseille,FC Metz,1 - 1,1,1
181,RC Lens,RC Strasbourg Alsace,3 - 1,3,1
182,Paris Saint-Germain,LOSC Lille,3 - 1,3,1
183,Havre Athletic Club,Stade Rennais FC,0 - 1,0,1
184,Clermont Foot 63,Stade Brestois 29,1 - 1,1,1
185,FC Lorient,Stade de Reims,2 - 0,2,0
186,Toulouse FC,FC Nantes,1 - 2,1,2
187,Montpellier Hérault SC,Olympique Lyonnais,1 - 2,1,2
188,OGC Nice,AS Monaco,2 - 3,2,3
189,Olympique Lyonnais,OGC Nice,1 - 0,1,0
190,LOSC Lille,Havre Athletic Club,3 - 0,3,0
191,FC Nantes,Paris Saint-Germain,0 - 2,0,2
192,RC Strasbourg Alsace,FC Lorient,1 - 3,1,3
193,AS Monaco,Toulouse FC,1 - 2,1,2
194,Montpellier Hérault SC,FC Metz,3 - 0,3,0
195,Stade Rennais FC,Clermont Foot 63,3 - 1,3,1
196,Stade de Reims,RC Lens,1 - 1,1,1
197,Stade Brestois 29,Olympique de Marseille,1 - 0,1,0
198,FC Metz,Olympique Lyonnais,1 - 2,1,2
199,FC Lorient,FC Nantes,0 - 1,0,1
200,RC Strasbourg Alsace,Stade Brestois 29,0 - 3,0,3
201,RC Lens,AS Monaco,2 - 3,2,3
202,Havre Athletic Club,Stade de Reims,1 - 2,1,2
203,OGC Nice,Clermont Foot 63,0 - 0,0,0
204,Toulouse FC,LOSC Lille,3 - 1,3,1
205,Paris Saint-Germain,Stade Rennais FC,1 - 1,1,1
206,Olympique de Marseille,Montpellier Hérault SC,4 - 1,4,1
207,AS Monaco,Paris Saint-Germain,0 - 0,0,0
208,Stade de Reims,LOSC Lille,0 - 1,0,1
209,Clermont Foot 63,Olympique de Marseille,1 - 5,1,5
210,Toulouse FC,OGC Nice,2 - 1,2,1
211,Stade Brestois 29,Havre Athletic Club,1 - 0,1,0
212,Montpellier Hérault SC,RC Strasbourg Alsace,2 - 2,2,2
213,FC Nantes,FC Metz,0 - 2,0,2
214,Stade Rennais FC,FC Lorient,1 - 2,1,2
215,Olympique Lyonnais,RC Lens,0 - 3,0,3
216,OGC Nice,Montpellier Hérault SC,1 - 2,1,2
217,FC Lorient,Olympique Lyonnais,0 - 2,0,2
218,RC Lens,Stade Brestois 29,1 - 0,1,0
219,Paris Saint-Germain,Stade de Reims,2 - 2,2,2
220,Havre Athletic Club,Toulouse FC,1 - 0,1,0
221,FC Metz,Clermont Foot 63,1 - 0,1,0
222,RC Strasbourg Alsace,AS Monaco,0 - 1,0,1
223,LOSC Lille,Stade Rennais FC,2 - 2,2,2
224,Olympique de Marseille,FC Nantes,2 - 0,2,0
225,Toulouse FC,Olympique Lyonnais,2 - 3,2,3
226,FC Nantes,RC Strasbourg Alsace,1 - 3,1,3
227,RC Lens,OGC Nice,1 - 3,1,3
228,Stade Brestois 29,LOSC Lille,1 - 1,1,1
229,Clermont Foot 63,Havre Athletic Club,2 - 1,2,1
230,AS Monaco,FC Lorient,2 - 2,2,2
231,Stade de Reims,FC Metz,2 - 1,2,1
232,Stade Rennais FC,Olympique de Marseille,2 - 0,2,0
